name	count	percent_male	percent_female
zyus	5	1	0
zyrus	56	1	0
zykir	5	1	0
zyking	11	1	0
zykell	21	1	0
zyah	252	0.01984126984126984	0.9801587301587301
zolton	133	1	0
zohar	192	0.3697916666666667	0.6302083333333334
zoel	55	0.6909090909090909	0.3090909090909091
ziyu	5	1	0
ziyi	10	0.5	0.5
zimere	67	1	0
ziheng	5	1	0
zihao	17	1	0
zihan	42	0.5	0.5
ziel	30	0.6	0.4
zhi	160	0.89375	0.10625
zeyd	18	1	0
zerek	214	1	0
zepplin	28	1	0
zekariah	15	1	0
zeik	21	1	0
zeev	60	1	0
zee	75	0.5733333333333334	0.4266666666666667
zecharya	5	1	0
zecharia	45	1	0
zayquan	168	1	0
zaylor	24	1	0
zay	52	0.8846153846153846	0.11538461538461539
zavon	187	1	0
zavi	10	1	0
zaul	210	1	0
zathan	39	1	0
zarrien	5	1	0
zareon	5	1	0
zared	116	1	0
zarar	5	1	0
zao	22	1	0
zandyn	32	1	0
zan	716	0.840782122905028	0.15921787709497207
zamauri	70	0.9142857142857143	0.08571428571428572
zalynn	29	0.3448275862068966	0.6551724137931034
zalyn	73	0.9178082191780822	0.0821917808219178
zakhai	47	1	0
zaiyon	12	1	0
zaith	29	1	0
zailyn	226	0.3274336283185841	0.672566371681416
zailen	76	1	0
zahi	54	1	0
zaheen	5	1	0
zaheem	41	1	0
zahair	17	1	0
zafir	189	1	0
zafer	5	1	0
zaedin	26	1	0
zae	55	1	0
zackry	374	1	0
zackeriah	94	1	0
zacharyah	21	1	0
zaccheus	447	1	0
zacary	1123	1	0
zabdi	155	0.2129032258064516	0.7870967741935484
zaakir	42	1	0
ywa	5	1	0
yusuke	267	1	0
yurik	5	1	0
yuriah	69	0.463768115942029	0.5362318840579711
yuepheng	64	1	0
younus	22	1	0
yosiel	44	1	0
yoshiyah	5	1	0
yoshi	190	0.631578947368421	0.3684210526315789
yorel	90	1	0
yordanny	5	1	0
yoon	109	0.7339449541284404	0.26605504587155965
yony	161	1	0
yogesh	51	1	0
yixuan	15	0.3333333333333333	0.6666666666666666
yirmeyah	5	1	0
yiran	28	0.35714285714285715	0.6428571428571429
yiming	32	1	0
yilin	48	0.10416666666666667	0.8958333333333334
yifan	46	0.8913043478260869	0.10869565217391304
yien	5	1	0
yiddy	5	1	0
yicheng	12	1	0
yeshayahu	26	1	0
yengkong	45	1	0
yekusiel	46	1	0
yegor	43	1	0
yassen	35	1	0
yasseen	69	1	0
